what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"org.eclipse.ui.workbench",1328235885704
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.workbench.texteditor",1328235885715
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1328235885719
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1328235885732
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1328235885769
started,bundle,org.eclipse.wb.discovery.core,1.1.0.r37x201109091028,"org.eclipse.wb.discovery.core",1328235885847
started,bundle,org.eclipse.wst.sse.core,1.1.601.v201108151912,"org.eclipse.wst.sse.core",1328235885862
started,bundle,com.android.ide.eclipse.adt,16.0.1.v201112150204-238534,"com.android.ide.eclipse.adt",1328235885862
started,bundle,com.android.ide.eclipse.ddms,16.0.1.v201112150204-238534,"com.android.ide.eclipse.ddms",1328235885867
started,bundle,com.android.ide.eclipse.traceview,16.0.1.v201112150204-238534,"com.android.ide.eclipse.traceview",1328235885872
os,sysinfo,,,"linux",1328235885876
arch,sysinfo,,,"x86",1328235885876
ws,sysinfo,,,"gtk",1328235885876
locale,sysinfo,,,"en_US",1328235885876
processors,sysinfo,,,"2",1328235885876
java.runtime.name,sysinfo,,,"OpenJDK Runtime Environment",1328235885876
java.runtime.version,sysinfo,,,"1.6.0_22-b22",1328235885876
java.specification.name,sysinfo,,,"Java Platform API Specification",1328235885876
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1328235885876
java.specification.version,sysinfo,,,"1.6",1328235885876
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1328235885876
java.version,sysinfo,,,"1.6.0_22",1328235885876
java.vm.info,sysinfo,,,"mixed mode, sharing",1328235885876
java.vm.name,sysinfo,,,"OpenJDK Client VM",1328235885876
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1328235885876
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1328235885876
java.vm.specification.version,sysinfo,,,"1.0",1328235885876
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1328235885876
java.vm.version,sysinfo,,,"20.0-b11",1328235885876
started,bundle,org.eclipse.m2e.usagedata,1.0.100.20110804-1717,"org.eclipse.m2e.usagedata",1328235885896
started,bundle,org.eclipse.wb.discovery.ui,1.1.0.r37x201109091028,"org.eclipse.wb.discovery.ui",1328235886062
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1328235886592
started,bundle,org.eclipse.team.cvs.ui,3.3.400.I20110510-0800,"org.eclipse.team.cvs.ui",1328235886862
opened,view,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.views.ProblemView",1328235887851
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328235938668
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328236031203
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328236052314
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328236062611
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1328236069376
started,bundle,org.eclipse.wb.core.lib,1.1.0.r37x201109091012,"org.eclipse.wb.core.lib",1328236080865
started,bundle,org.eclipse.wb.core,1.1.0.r37x201109091012,"org.eclipse.wb.core",1328236080977
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1328236081311
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328236084850
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328236098354
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1328236106490
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1328236107323
